data_status,product_instance,stage_id,stage_name,synthetic_activity_value,activity_unit,emission_factor_gCO2e_per_unit,factor_status,co2e_kg
SYNTHETIC,64,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0537,"kWh cell capacity",74000,CITED,3.974
SYNTHETIC,64,4,"Screen (LCD module) [SYNTHETIC]",0.0555,"m2 panel area",222000,CITED,12.321
SYNTHETIC,64,5,"Assembly electricity [SYNTHETIC]",20.6,"kWh factory electricity",445,CITED,9.167
SYNTHETIC,64,6,"Packaging (cardboard) [SYNTHETIC]",0.97,"kg packaging material",1199.73,CITED,1.164
SYNTHETIC,64,7,"International shipping (sea, container) [SYNTHETIC]",90.3,"tonne-km",16.12,CITED,1.456
SYNTHETIC,64,8,"Use-phase electricity [SYNTHETIC]",144,"kWh lifetime electricity",445,CITED,64.08
SYNTHETIC,64,9,"Repair (replacement battery) [SYNTHETIC]",0.0603,"kWh replacement-battery capacity",74000,CITED,4.462
SYNTHETIC,64,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.96,"kg mass processed",-1170.4,CITED,-2.294
SYNTHETIC,65,1,"Aluminium casing [SYNTHETIC]",1.048,"kg aluminium",14800,CITED,15.51
SYNTHETIC,65,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.424,"kg populated board",185714,DERIVED_FROM_CITED,78.743
SYNTHETIC,65,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0569,"kWh cell capacity",74000,CITED,4.211
SYNTHETIC,65,4,"Screen (LCD module) [SYNTHETIC]",0.0573,"m2 panel area",222000,CITED,12.721
SYNTHETIC,65,5,"Assembly electricity [SYNTHETIC]",24.5,"kWh factory electricity",445,CITED,10.902
SYNTHETIC,65,6,"Packaging (cardboard) [SYNTHETIC]",0.73,"kg packaging material",1199.73,CITED,0.876
SYNTHETIC,65,7,"International shipping (sea, container) [SYNTHETIC]",62.5,"tonne-km",16.12,CITED,1.008
SYNTHETIC,65,8,"Use-phase electricity [SYNTHETIC]",207,"kWh lifetime electricity",445,CITED,92.115
SYNTHETIC,65,9,"Repair (replacement battery) [SYNTHETIC]",0.0468,"kWh replacement-battery capacity",74000,CITED,3.463
SYNTHETIC,65,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.29,"kg mass processed",-1170.4,CITED,-2.68
SYNTHETIC,66,1,"Aluminium casing [SYNTHETIC]",1.078,"kg aluminium",14800,CITED,15.954
SYNTHETIC,66,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.373,"kg populated board",185714,DERIVED_FROM_CITED,69.271
SYNTHETIC,66,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0637,"kWh cell capacity",74000,CITED,4.714
SYNTHETIC,66,4,"Screen (LCD module) [SYNTHETIC]",0.06,"m2 panel area",222000,CITED,13.32
SYNTHETIC,66,5,"Assembly electricity [SYNTHETIC]",23.7,"kWh factory electricity",445,CITED,10.546
SYNTHETIC,66,6,"Packaging (cardboard) [SYNTHETIC]",0.88,"kg packaging material",1199.73,CITED,1.056
SYNTHETIC,66,7,"International shipping (sea, container) [SYNTHETIC]",74.7,"tonne-km",16.12,CITED,1.204
SYNTHETIC,66,8,"Use-phase electricity [SYNTHETIC]",183,"kWh lifetime electricity",445,CITED,81.435
SYNTHETIC,66,9,"Repair (replacement battery) [SYNTHETIC]",0.0541,"kWh replacement-battery capacity",74000,CITED,4.003
SYNTHETIC,66,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.34,"kg mass processed",-1170.4,CITED,-2.739
SYNTHETIC,67,1,"Aluminium casing [SYNTHETIC]",1.234,"kg aluminium",14800,CITED,18.263
SYNTHETIC,67,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.315,"kg populated board",185714,DERIVED_FROM_CITED,58.5
SYNTHETIC,67,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0736,"kWh cell capacity",74000,CITED,5.446
SYNTHETIC,67,4,"Screen (LCD module) [SYNTHETIC]",0.0507,"m2 panel area",222000,CITED,11.255
SYNTHETIC,67,5,"Assembly electricity [SYNTHETIC]",25.6,"kWh factory electricity",445,CITED,11.392
SYNTHETIC,67,6,"Packaging (cardboard) [SYNTHETIC]",1.07,"kg packaging material",1199.73,CITED,1.284
SYNTHETIC,67,7,"International shipping (sea, container) [SYNTHETIC]",55.2,"tonne-km",16.12,CITED,0.89
SYNTHETIC,67,8,"Use-phase electricity [SYNTHETIC]",153,"kWh lifetime electricity",445,CITED,68.085
SYNTHETIC,67,9,"Repair (replacement battery) [SYNTHETIC]",0.0565,"kWh replacement-battery capacity",74000,CITED,4.181
SYNTHETIC,67,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.02,"kg mass processed",-1170.4,CITED,-2.364
SYNTHETIC,68,1,"Aluminium casing [SYNTHETIC]",1.143,"kg aluminium",14800,CITED,16.916
SYNTHETIC,68,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.389,"kg populated board",185714,DERIVED_FROM_CITED,72.243
SYNTHETIC,68,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0528,"kWh cell capacity",74000,CITED,3.907
SYNTHETIC,68,4,"Screen (LCD module) [SYNTHETIC]",0.0521,"m2 panel area",222000,CITED,11.566
SYNTHETIC,68,5,"Assembly electricity [SYNTHETIC]",26,"kWh factory electricity",445,CITED,11.57
SYNTHETIC,68,6,"Packaging (cardboard) [SYNTHETIC]",0.67,"kg packaging material",1199.73,CITED,0.804
SYNTHETIC,68,7,"International shipping (sea, container) [SYNTHETIC]",74.1,"tonne-km",16.12,CITED,1.194
SYNTHETIC,68,8,"Use-phase electricity [SYNTHETIC]",190,"kWh lifetime electricity",445,CITED,84.55
SYNTHETIC,68,9,"Repair (replacement battery) [SYNTHETIC]",0.0618,"kWh replacement-battery capacity",74000,CITED,4.573
SYNTHETIC,68,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.07,"kg mass processed",-1170.4,CITED,-2.423
SYNTHETIC,69,1,"Aluminium casing [SYNTHETIC]",1.074,"kg aluminium",14800,CITED,15.895
SYNTHETIC,69,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.393,"kg populated board",185714,DERIVED_FROM_CITED,72.986
SYNTHETIC,69,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0684,"kWh cell capacity",74000,CITED,5.062
SYNTHETIC,69,4,"Screen (LCD module) [SYNTHETIC]",0.0501,"m2 panel area",222000,CITED,11.122
SYNTHETIC,69,5,"Assembly electricity [SYNTHETIC]",24.3,"kWh factory electricity",445,CITED,10.813
SYNTHETIC,69,6,"Packaging (cardboard) [SYNTHETIC]",1.01,"kg packaging material",1199.73,CITED,1.212
SYNTHETIC,69,7,"International shipping (sea, container) [SYNTHETIC]",71.1,"tonne-km",16.12,CITED,1.146
SYNTHETIC,69,8,"Use-phase electricity [SYNTHETIC]",212,"kWh lifetime electricity",445,CITED,94.34
SYNTHETIC,69,9,"Repair (replacement battery) [SYNTHETIC]",0.0604,"kWh replacement-battery capacity",74000,CITED,4.47
SYNTHETIC,69,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.98,"kg mass processed",-1170.4,CITED,-2.317
SYNTHETIC,70,1,"Aluminium casing [SYNTHETIC]",1.304,"kg aluminium",14800,CITED,19.299
SYNTHETIC,70,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.304,"kg populated board",185714,DERIVED_FROM_CITED,56.457
SYNTHETIC,70,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0479,"kWh cell capacity",74000,CITED,3.545
SYNTHETIC,70,4,"Screen (LCD module) [SYNTHETIC]",0.0521,"m2 panel area",222000,CITED,11.566
SYNTHETIC,70,5,"Assembly electricity [SYNTHETIC]",31.4,"kWh factory electricity",445,CITED,13.973
SYNTHETIC,70,6,"Packaging (cardboard) [SYNTHETIC]",1.04,"kg packaging material",1199.73,CITED,1.248
SYNTHETIC,70,7,"International shipping (sea, container) [SYNTHETIC]",67.1,"tonne-km",16.12,CITED,1.082
SYNTHETIC,70,8,"Use-phase electricity [SYNTHETIC]",166,"kWh lifetime electricity",445,CITED,73.87
SYNTHETIC,70,9,"Repair (replacement battery) [SYNTHETIC]",0.0628,"kWh replacement-battery capacity",74000,CITED,4.647
SYNTHETIC,70,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.03,"kg mass processed",-1170.4,CITED,-2.376
SYNTHETIC,71,1,"Aluminium casing [SYNTHETIC]",1.236,"kg aluminium",14800,CITED,18.293
SYNTHETIC,71,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.342,"kg populated board",185714,DERIVED_FROM_CITED,63.514
SYNTHETIC,71,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0582,"kWh cell capacity",74000,CITED,4.307
SYNTHETIC,71,4,"Screen (LCD module) [SYNTHETIC]",0.053,"m2 panel area",222000,CITED,11.766
SYNTHETIC,71,5,"Assembly electricity [SYNTHETIC]",21.3,"kWh factory electricity",445,CITED,9.479
SYNTHETIC,71,6,"Packaging (cardboard) [SYNTHETIC]",0.86,"kg packaging material",1199.73,CITED,1.032
SYNTHETIC,71,7,"International shipping (sea, container) [SYNTHETIC]",56.1,"tonne-km",16.12,CITED,0.904
SYNTHETIC,71,8,"Use-phase electricity [SYNTHETIC]",191,"kWh lifetime electricity",445,CITED,84.995
SYNTHETIC,71,9,"Repair (replacement battery) [SYNTHETIC]",0.0643,"kWh replacement-battery capacity",74000,CITED,4.758
SYNTHETIC,71,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.8,"kg mass processed",-1170.4,CITED,-2.107
SYNTHETIC,72,1,"Aluminium casing [SYNTHETIC]",1.294,"kg aluminium",14800,CITED,19.151
SYNTHETIC,72,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.364,"kg populated board",185714,DERIVED_FROM_CITED,67.6
SYNTHETIC,72,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0529,"kWh cell capacity",74000,CITED,3.915
SYNTHETIC,72,4,"Screen (LCD module) [SYNTHETIC]",0.061,"m2 panel area",222000,CITED,13.542
SYNTHETIC,72,5,"Assembly electricity [SYNTHETIC]",35.1,"kWh factory electricity",445,CITED,15.62
SYNTHETIC,72,6,"Packaging (cardboard) [SYNTHETIC]",1.04,"kg packaging material",1199.73,CITED,1.248
SYNTHETIC,72,7,"International shipping (sea, container) [SYNTHETIC]",64.5,"tonne-km",16.12,CITED,1.04
SYNTHETIC,72,8,"Use-phase electricity [SYNTHETIC]",181,"kWh lifetime electricity",445,CITED,80.545
SYNTHETIC,72,9,"Repair (replacement battery) [SYNTHETIC]",0.0666,"kWh replacement-battery capacity",74000,CITED,4.928
SYNTHETIC,72,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.43,"kg mass processed",-1170.4,CITED,-2.844
SYNTHETIC,73,1,"Aluminium casing [SYNTHETIC]",1.296,"kg aluminium",14800,CITED,19.181
SYNTHETIC,73,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.392,"kg populated board",185714,DERIVED_FROM_CITED,72.8
SYNTHETIC,73,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0476,"kWh cell capacity",74000,CITED,3.522
SYNTHETIC,73,4,"Screen (LCD module) [SYNTHETIC]",0.0529,"m2 panel area",222000,CITED,11.744
SYNTHETIC,73,5,"Assembly electricity [SYNTHETIC]",15.9,"kWh factory electricity",445,CITED,7.075
SYNTHETIC,73,6,"Packaging (cardboard) [SYNTHETIC]",0.83,"kg packaging material",1199.73,CITED,0.996
SYNTHETIC,73,7,"International shipping (sea, container) [SYNTHETIC]",70.9,"tonne-km",16.12,CITED,1.143
SYNTHETIC,73,8,"Use-phase electricity [SYNTHETIC]",211,"kWh lifetime electricity",445,CITED,93.895
SYNTHETIC,73,9,"Repair (replacement battery) [SYNTHETIC]",0.0562,"kWh replacement-battery capacity",74000,CITED,4.159
SYNTHETIC,73,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.63,"kg mass processed",-1170.4,CITED,-1.908
SYNTHETIC,74,1,"Aluminium casing [SYNTHETIC]",1.045,"kg aluminium",14800,CITED,15.466
SYNTHETIC,74,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.313,"kg populated board",185714,DERIVED_FROM_CITED,58.128
SYNTHETIC,74,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.065,"kWh cell capacity",74000,CITED,4.81
SYNTHETIC,74,4,"Screen (LCD module) [SYNTHETIC]",0.0549,"m2 panel area",222000,CITED,12.188
SYNTHETIC,74,5,"Assembly electricity [SYNTHETIC]",24.3,"kWh factory electricity",445,CITED,10.813
SYNTHETIC,74,6,"Packaging (cardboard) [SYNTHETIC]",0.74,"kg packaging material",1199.73,CITED,0.888
SYNTHETIC,74,7,"International shipping (sea, container) [SYNTHETIC]",57.6,"tonne-km",16.12,CITED,0.929
SYNTHETIC,74,8,"Use-phase electricity [SYNTHETIC]",195,"kWh lifetime electricity",445,CITED,86.775
SYNTHETIC,74,9,"Repair (replacement battery) [SYNTHETIC]",0.0485,"kWh replacement-battery capacity",74000,CITED,3.589
SYNTHETIC,74,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.02,"kg mass processed",-1170.4,CITED,-2.364
SYNTHETIC,75,1,"Aluminium casing [SYNTHETIC]",1.136,"kg aluminium",14800,CITED,16.813
SYNTHETIC,75,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.328,"kg populated board",185714,DERIVED_FROM_CITED,60.914
SYNTHETIC,75,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0641,"kWh cell capacity",74000,CITED,4.743
SYNTHETIC,75,4,"Screen (LCD module) [SYNTHETIC]",0.0507,"m2 panel area",222000,CITED,11.255
SYNTHETIC,75,5,"Assembly electricity [SYNTHETIC]",29,"kWh factory electricity",445,CITED,12.905
SYNTHETIC,75,6,"Packaging (cardboard) [SYNTHETIC]",0.91,"kg packaging material",1199.73,CITED,1.092
SYNTHETIC,75,7,"International shipping (sea, container) [SYNTHETIC]",57.7,"tonne-km",16.12,CITED,0.93
SYNTHETIC,75,8,"Use-phase electricity [SYNTHETIC]",280,"kWh lifetime electricity",445,CITED,124.6
SYNTHETIC,75,9,"Repair (replacement battery) [SYNTHETIC]",0.0524,"kWh replacement-battery capacity",74000,CITED,3.878
SYNTHETIC,75,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.85,"kg mass processed",-1170.4,CITED,-2.165
SYNTHETIC,76,1,"Aluminium casing [SYNTHETIC]",1.174,"kg aluminium",14800,CITED,17.375
SYNTHETIC,76,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.364,"kg populated board",185714,DERIVED_FROM_CITED,67.6
SYNTHETIC,76,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0618,"kWh cell capacity",74000,CITED,4.573
SYNTHETIC,76,4,"Screen (LCD module) [SYNTHETIC]",0.0606,"m2 panel area",222000,CITED,13.453
SYNTHETIC,76,5,"Assembly electricity [SYNTHETIC]",19.2,"kWh factory electricity",445,CITED,8.544
SYNTHETIC,76,6,"Packaging (cardboard) [SYNTHETIC]",0.69,"kg packaging material",1199.73,CITED,0.828
SYNTHETIC,76,7,"International shipping (sea, container) [SYNTHETIC]",76.8,"tonne-km",16.12,CITED,1.238
SYNTHETIC,76,8,"Use-phase electricity [SYNTHETIC]",186,"kWh lifetime electricity",445,CITED,82.77
SYNTHETIC,76,9,"Repair (replacement battery) [SYNTHETIC]",0.0659,"kWh replacement-battery capacity",74000,CITED,4.877
SYNTHETIC,76,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.06,"kg mass processed",-1170.4,CITED,-2.411
SYNTHETIC,77,1,"Aluminium casing [SYNTHETIC]",1.189,"kg aluminium",14800,CITED,17.597
SYNTHETIC,77,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.312,"kg populated board",185714,DERIVED_FROM_CITED,57.943
SYNTHETIC,77,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0711,"kWh cell capacity",74000,CITED,5.261
SYNTHETIC,77,4,"Screen (LCD module) [SYNTHETIC]",0.0595,"m2 panel area",222000,CITED,13.209
SYNTHETIC,77,5,"Assembly electricity [SYNTHETIC]",28,"kWh factory electricity",445,CITED,12.46
SYNTHETIC,77,6,"Packaging (cardboard) [SYNTHETIC]",0.99,"kg packaging material",1199.73,CITED,1.188
SYNTHETIC,77,7,"International shipping (sea, container) [SYNTHETIC]",64.6,"tonne-km",16.12,CITED,1.041
SYNTHETIC,77,8,"Use-phase electricity [SYNTHETIC]",158,"kWh lifetime electricity",445,CITED,70.31
SYNTHETIC,77,9,"Repair (replacement battery) [SYNTHETIC]",0.0568,"kWh replacement-battery capacity",74000,CITED,4.203
SYNTHETIC,77,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.21,"kg mass processed",-1170.4,CITED,-2.587
SYNTHETIC,78,1,"Aluminium casing [SYNTHETIC]",1.022,"kg aluminium",14800,CITED,15.126
SYNTHETIC,78,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.301,"kg populated board",185714,DERIVED_FROM_CITED,55.9
SYNTHETIC,78,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0588,"kWh cell capacity",74000,CITED,4.351
SYNTHETIC,78,4,"Screen (LCD module) [SYNTHETIC]",0.0573,"m2 panel area",222000,CITED,12.721
SYNTHETIC,78,5,"Assembly electricity [SYNTHETIC]",35.6,"kWh factory electricity",445,CITED,15.842
SYNTHETIC,78,6,"Packaging (cardboard) [SYNTHETIC]",0.85,"kg packaging material",1199.73,CITED,1.02
SYNTHETIC,78,7,"International shipping (sea, container) [SYNTHETIC]",81.6,"tonne-km",16.12,CITED,1.315
SYNTHETIC,78,8,"Use-phase electricity [SYNTHETIC]",194,"kWh lifetime electricity",445,CITED,86.33
SYNTHETIC,78,9,"Repair (replacement battery) [SYNTHETIC]",0.0689,"kWh replacement-battery capacity",74000,CITED,5.099
SYNTHETIC,78,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2,"kg mass processed",-1170.4,CITED,-2.341
SYNTHETIC,79,1,"Aluminium casing [SYNTHETIC]",1.172,"kg aluminium",14800,CITED,17.346
SYNTHETIC,79,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.273,"kg populated board",185714,DERIVED_FROM_CITED,50.7
SYNTHETIC,79,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0601,"kWh cell capacity",74000,CITED,4.447
SYNTHETIC,79,4,"Screen (LCD module) [SYNTHETIC]",0.0676,"m2 panel area",222000,CITED,15.007
SYNTHETIC,79,5,"Assembly electricity [SYNTHETIC]",35.7,"kWh factory electricity",445,CITED,15.887
SYNTHETIC,79,6,"Packaging (cardboard) [SYNTHETIC]",1.01,"kg packaging material",1199.73,CITED,1.212
SYNTHETIC,79,7,"International shipping (sea, container) [SYNTHETIC]",73.7,"tonne-km",16.12,CITED,1.188
SYNTHETIC,79,8,"Use-phase electricity [SYNTHETIC]",115,"kWh lifetime electricity",445,CITED,51.175
SYNTHETIC,79,9,"Repair (replacement battery) [SYNTHETIC]",0.0708,"kWh replacement-battery capacity",74000,CITED,5.239
SYNTHETIC,79,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.94,"kg mass processed",-1170.4,CITED,-2.271
SYNTHETIC,80,1,"Aluminium casing [SYNTHETIC]",1.116,"kg aluminium",14800,CITED,16.517
SYNTHETIC,80,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.351,"kg populated board",185714,DERIVED_FROM_CITED,65.186
SYNTHETIC,80,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0567,"kWh cell capacity",74000,CITED,4.196
SYNTHETIC,80,4,"Screen (LCD module) [SYNTHETIC]",0.0618,"m2 panel area",222000,CITED,13.72
SYNTHETIC,80,5,"Assembly electricity [SYNTHETIC]",16.9,"kWh factory electricity",445,CITED,7.52
SYNTHETIC,80,6,"Packaging (cardboard) [SYNTHETIC]",0.71,"kg packaging material",1199.73,CITED,0.852
SYNTHETIC,80,7,"International shipping (sea, container) [SYNTHETIC]",50.4,"tonne-km",16.12,CITED,0.812
SYNTHETIC,80,8,"Use-phase electricity [SYNTHETIC]",196,"kWh lifetime electricity",445,CITED,87.22
SYNTHETIC,80,9,"Repair (replacement battery) [SYNTHETIC]",0.0535,"kWh replacement-battery capacity",74000,CITED,3.959
SYNTHETIC,80,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.86,"kg mass processed",-1170.4,CITED,-2.177
SYNTHETIC,81,1,"Aluminium casing [SYNTHETIC]",1.33,"kg aluminium",14800,CITED,19.684
SYNTHETIC,81,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.351,"kg populated board",185714,DERIVED_FROM_CITED,65.186
SYNTHETIC,81,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.058,"kWh cell capacity",74000,CITED,4.292
SYNTHETIC,81,4,"Screen (LCD module) [SYNTHETIC]",0.0684,"m2 panel area",222000,CITED,15.185
SYNTHETIC,81,5,"Assembly electricity [SYNTHETIC]",18.1,"kWh factory electricity",445,CITED,8.055
SYNTHETIC,81,6,"Packaging (cardboard) [SYNTHETIC]",0.77,"kg packaging material",1199.73,CITED,0.924
SYNTHETIC,81,7,"International shipping (sea, container) [SYNTHETIC]",61.3,"tonne-km",16.12,CITED,0.988
SYNTHETIC,81,8,"Use-phase electricity [SYNTHETIC]",179,"kWh lifetime electricity",445,CITED,79.655
SYNTHETIC,81,9,"Repair (replacement battery) [SYNTHETIC]",0.0608,"kWh replacement-battery capacity",74000,CITED,4.499
SYNTHETIC,81,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.93,"kg mass processed",-1170.4,CITED,-2.259
SYNTHETIC,82,1,"Aluminium casing [SYNTHETIC]",1.245,"kg aluminium",14800,CITED,18.426
SYNTHETIC,82,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.384,"kg populated board",185714,DERIVED_FROM_CITED,71.314
SYNTHETIC,82,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0638,"kWh cell capacity",74000,CITED,4.721
SYNTHETIC,82,4,"Screen (LCD module) [SYNTHETIC]",0.0646,"m2 panel area",222000,CITED,14.341
SYNTHETIC,82,5,"Assembly electricity [SYNTHETIC]",17,"kWh factory electricity",445,CITED,7.565
SYNTHETIC,82,6,"Packaging (cardboard) [SYNTHETIC]",0.78,"kg packaging material",1199.73,CITED,0.936
SYNTHETIC,82,7,"International shipping (sea, container) [SYNTHETIC]",58,"tonne-km",16.12,CITED,0.935
SYNTHETIC,82,8,"Use-phase electricity [SYNTHETIC]",217,"kWh lifetime electricity",445,CITED,96.565
SYNTHETIC,82,9,"Repair (replacement battery) [SYNTHETIC]",0.0566,"kWh replacement-battery capacity",74000,CITED,4.188
SYNTHETIC,82,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2,"kg mass processed",-1170.4,CITED,-2.341
SYNTHETIC,83,1,"Aluminium casing [SYNTHETIC]",1.108,"kg aluminium",14800,CITED,16.398
SYNTHETIC,83,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.369,"kg populated board",185714,DERIVED_FROM_CITED,68.528
SYNTHETIC,83,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0639,"kWh cell capacity",74000,CITED,4.729
SYNTHETIC,83,4,"Screen (LCD module) [SYNTHETIC]",0.0594,"m2 panel area",222000,CITED,13.187
SYNTHETIC,83,5,"Assembly electricity [SYNTHETIC]",22.3,"kWh factory electricity",445,CITED,9.924
SYNTHETIC,83,6,"Packaging (cardboard) [SYNTHETIC]",1.26,"kg packaging material",1199.73,CITED,1.512
SYNTHETIC,83,7,"International shipping (sea, container) [SYNTHETIC]",76.5,"tonne-km",16.12,CITED,1.233
SYNTHETIC,83,8,"Use-phase electricity [SYNTHETIC]",155,"kWh lifetime electricity",445,CITED,68.975
SYNTHETIC,83,9,"Repair (replacement battery) [SYNTHETIC]",0.0611,"kWh replacement-battery capacity",74000,CITED,4.521
SYNTHETIC,83,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.86,"kg mass processed",-1170.4,CITED,-2.177
SYNTHETIC,84,1,"Aluminium casing [SYNTHETIC]",0.943,"kg aluminium",14800,CITED,13.956
SYNTHETIC,84,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.326,"kg populated board",185714,DERIVED_FROM_CITED,60.543
SYNTHETIC,84,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0677,"kWh cell capacity",74000,CITED,5.01
SYNTHETIC,84,4,"Screen (LCD module) [SYNTHETIC]",0.0705,"m2 panel area",222000,CITED,15.651
SYNTHETIC,84,5,"Assembly electricity [SYNTHETIC]",20.9,"kWh factory electricity",445,CITED,9.3
SYNTHETIC,84,6,"Packaging (cardboard) [SYNTHETIC]",0.8,"kg packaging material",1199.73,CITED,0.96
SYNTHETIC,84,7,"International shipping (sea, container) [SYNTHETIC]",87.2,"tonne-km",16.12,CITED,1.406
SYNTHETIC,84,8,"Use-phase electricity [SYNTHETIC]",129,"kWh lifetime electricity",445,CITED,57.405
SYNTHETIC,84,9,"Repair (replacement battery) [SYNTHETIC]",0.0578,"kWh replacement-battery capacity",74000,CITED,4.277
SYNTHETIC,84,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.9,"kg mass processed",-1170.4,CITED,-2.224
SYNTHETIC,85,1,"Aluminium casing [SYNTHETIC]",1.308,"kg aluminium",14800,CITED,19.358
SYNTHETIC,85,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.39,"kg populated board",185714,DERIVED_FROM_CITED,72.428
SYNTHETIC,85,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0454,"kWh cell capacity",74000,CITED,3.36
SYNTHETIC,85,4,"Screen (LCD module) [SYNTHETIC]",0.0496,"m2 panel area",222000,CITED,11.011
SYNTHETIC,85,5,"Assembly electricity [SYNTHETIC]",31.9,"kWh factory electricity",445,CITED,14.195
SYNTHETIC,85,6,"Packaging (cardboard) [SYNTHETIC]",0.82,"kg packaging material",1199.73,CITED,0.984
SYNTHETIC,85,7,"International shipping (sea, container) [SYNTHETIC]",76.4,"tonne-km",16.12,CITED,1.232
SYNTHETIC,85,8,"Use-phase electricity [SYNTHETIC]",181,"kWh lifetime electricity",445,CITED,80.545
SYNTHETIC,85,9,"Repair (replacement battery) [SYNTHETIC]",0.0536,"kWh replacement-battery capacity",74000,CITED,3.966
SYNTHETIC,85,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.06,"kg mass processed",-1170.4,CITED,-2.411
SYNTHETIC,86,1,"Aluminium casing [SYNTHETIC]",1.107,"kg aluminium",14800,CITED,16.384
SYNTHETIC,86,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.422,"kg populated board",185714,DERIVED_FROM_CITED,78.371
SYNTHETIC,86,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.076,"kWh cell capacity",74000,CITED,5.624
SYNTHETIC,86,4,"Screen (LCD module) [SYNTHETIC]",0.0664,"m2 panel area",222000,CITED,14.741
SYNTHETIC,86,5,"Assembly electricity [SYNTHETIC]",32.8,"kWh factory electricity",445,CITED,14.596
SYNTHETIC,86,6,"Packaging (cardboard) [SYNTHETIC]",1,"kg packaging material",1199.73,CITED,1.2
SYNTHETIC,86,7,"International shipping (sea, container) [SYNTHETIC]",64.8,"tonne-km",16.12,CITED,1.045
SYNTHETIC,86,8,"Use-phase electricity [SYNTHETIC]",165,"kWh lifetime electricity",445,CITED,73.425
SYNTHETIC,86,9,"Repair (replacement battery) [SYNTHETIC]",0.0569,"kWh replacement-battery capacity",74000,CITED,4.211
SYNTHETIC,86,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.7,"kg mass processed",-1170.4,CITED,-1.99
